user_id,movie_id,rating
0,0,3.27
0,1,2.81
0,2,2.67
0,3,2.61
0,4,3.58
0,5,1.9
0,6,4.6
0,7,1.76
0,8,1.99
0,9,2.15
0,10,1.0
0,11,3.85
0,12,2.88
0,13,4.07
0,14,1.77
0,15,1.03
0,16,1.49
0,17,1.93
0,18,1.93
0,19,3.78
0,20,3.96
0,21,1.81
0,22,2.38
0,23,1.71
0,24,1.62
0,25,2.76
0,26,3.06
0,27,4.6
0,28,2.83
0,29,3.14
0,30,4.97
0,31,2.55
0,32,4.69
0,33,4.95
0,34,1.05
0,35,3.08
0,36,3.73
0,37,1.65
0,38,4.51
0,39,3.39
0,40,4.18
0,41,1.66
0,42,4.88
0,43,2.01
0,44,3.23
0,45,2.51
0,46,2.21
0,47,4.59
0,48,2.12
0,49,2.56
0,50,3.46
0,51,2.32
0,52,2.2
0,53,2.59
0,54,1.87
0,55,2.57
0,56,3.09
0,57,4.24
0,58,3.49
0,59,1.94
0,60,3.6
0,61,1.17
0,62,2.08
0,63,4.83
0,64,1.4
0,65,2.87
0,66,3.49
0,67,3.23
0,68,4.36
0,69,2.68
0,70,2.36
0,71,2.31
0,72,2.41
0,73,2.82
0,74,1.31
0,75,1.08
0,76,1.08
0,77,4.89
0,78,4.62
0,79,3.07
0,80,3.44
0,81,3.39
0,82,2.99
0,83,3.35
0,84,4.39
0,85,2.22
0,86,3.09
0,87,3.8
0,88,4.06
0,89,1.51
0,90,2.14
0,91,4.79
0,92,4.45
0,93,1.31
0,94,1.79
0,95,2.27
0,96,2.32
0,97,3.67
0,98,3.29
0,99,3.69
0,100,4.93
0,101,1.89
0,102,2.22
0,103,4.46
0,104,1.67
0,105,4.46
0,106,3.35
0,107,3.95
0,108,1.06
0,109,2.21
0,110,3.57
0,111,4.22
0,112,2.03
0,113,1.7
0,114,4.01
0,115,2.22
0,116,3.36
0,117,3.94
0,118,1.68
0,119,1.18
0,120,2.16
0,121,4.46
0,122,1.67
0,123,2.66
0,124,1.52
0,125,4.66
0,126,2.33
0,127,2.48
0,128,2.29
0,129,1.34
0,130,1.23
0,131,2.94
0,132,2.27
0,133,3.08
0,134,4.82
0,135,4.67
0,136,3.86
0,137,1.4
0,138,4.44
0,139,3.88
0,140,3.71
0,141,1.93
0,142,3.9
